,Date,Base_Close,Comp_Close,Spread,Base_Instrument,Comp_Instrument
1636,2012-10-17,88.17,89.11,-0.9399999999999977,/CLN16,/CLF16
1637,2012-10-18,87.46000000000001,88.48,-1.019999999999996,/CLN16,/CLF16
1638,2012-10-19,86.61,87.5,-0.8900000000000006,/CLN16,/CLF16
1639,2012-10-22,85.95,86.7,-0.75,/CLN16,/CLF16
1640,2012-10-23,84.79,85.4,-0.6099999999999994,/CLN16,/CLF16
1641,2012-10-24,84.64,85.08,-0.4399999999999977,/CLN16,/CLF16
1642,2012-10-25,85.37,85.8,-0.4299999999999926,/CLN16,/CLF16
1643,2012-10-26,86.04,86.43,-0.39000000000000057,/CLN16,/CLF16
1644,2012-10-29,85.35000000000001,85.8,-0.44999999999998863,/CLN16,/CLF16
1645,2012-10-30,85.02,85.58,-0.5600000000000023,/CLN16,/CLF16
1646,2012-10-31,85.27,85.88,-0.6099999999999994,/CLN16,/CLF16
1647,2012-11-01,86.23,86.84,-0.6099999999999994,/CLN16,/CLF16
1648,2012-11-02,85.49,86.0,-0.5100000000000051,/CLN16,/CLF16
1649,2012-11-05,86.17,86.68,-0.5100000000000051,/CLN16,/CLF16
1650,2012-11-06,88.01,88.67,-0.6599999999999966,/CLN16,/CLF16
1651,2012-11-07,85.27,85.77,-0.5,/CLN16,/CLF16
1652,2012-11-08,86.41,86.87,-0.46000000000000796,/CLN16,/CLF16
1653,2012-11-09,87.35000000000001,87.83,-0.47999999999998977,/CLN16,/CLF16
1654,2012-11-12,87.54,87.94,-0.3999999999999915,/CLN16,/CLF16
1655,2012-11-13,87.8,88.15,-0.3500000000000085,/CLN16,/CLF16
1656,2012-11-14,87.84,88.27,-0.4299999999999926,/CLN16,/CLF16
1657,2012-11-15,87.05,87.51,-0.46000000000000796,/CLN16,/CLF16
1658,2012-11-16,86.4,86.99,-0.5899999999999892,/CLN16,/CLF16
1659,2012-11-19,87.05,87.85000000000001,-0.8000000000000114,/CLN16,/CLF16
1660,2012-11-20,86.07000000000001,86.75,-0.6799999999999926,/CLN16,/CLF16
1661,2012-11-21,86.68,87.36,-0.6799999999999926,/CLN16,/CLF16
1662,2012-11-23,88.0,88.67,-0.6700000000000017,/CLN16,/CLF16
1663,2012-11-26,87.19,87.89,-0.7000000000000028,/CLN16,/CLF16
1664,2012-11-27,86.96000000000001,87.61,-0.6499999999999915,/CLN16,/CLF16
1665,2012-11-28,86.82000000000001,87.38,-0.5599999999999881,/CLN16,/CLF16
1666,2012-11-29,87.06,87.73,-0.6700000000000017,/CLN16,/CLF16
1667,2012-11-30,87.4,88.18,-0.7800000000000011,/CLN16,/CLF16
1668,2012-12-03,87.56,88.41,-0.8499999999999943,/CLN16,/CLF16
1669,2012-12-04,87.34,88.16,-0.8199999999999932,/CLN16,/CLF16
1670,2012-12-05,87.49,88.21000000000001,-0.7200000000000131,/CLN16,/CLF16
1671,2012-12-06,86.49,87.06,-0.5700000000000074,/CLN16,/CLF16
1672,2012-12-07,86.42,86.95,-0.5300000000000011,/CLN16,/CLF16
1673,2012-12-10,86.02,86.54,-0.5200000000000102,/CLN16,/CLF16
1674,2012-12-11,86.29,86.79,-0.5,/CLN16,/CLF16
1675,2012-12-12,86.67,87.24,-0.5699999999999932,/CLN16,/CLF16
1676,2012-12-13,85.60000000000001,86.19,-0.5899999999999892,/CLN16,/CLF16
1677,2012-12-14,86.47,87.12,-0.6500000000000057,/CLN16,/CLF16
1678,2012-12-17,85.9,86.59,-0.6899999999999977,/CLN16,/CLF16
1679,2012-12-18,86.3,87.10000000000001,-0.8000000000000114,/CLN16,/CLF16
1680,2012-12-19,87.27,88.15,-0.8800000000000097,/CLN16,/CLF16
1681,2012-12-20,87.16,88.12,-0.960000000000008,/CLN16,/CLF16
1682,2012-12-21,86.60000000000001,87.47,-0.8699999999999903,/CLN16,/CLF16
1683,2012-12-24,86.65,87.5,-0.8499999999999943,/CLN16,/CLF16
1684,2012-12-26,87.36,88.32000000000001,-0.960000000000008,/CLN16,/CLF16
1685,2012-12-27,87.42,88.38,-0.9599999999999937,/CLN16,/CLF16
1686,2012-12-28,87.38,88.34,-0.960000000000008,/CLN16,/CLF16
1687,2012-12-31,88.18,89.18,-1.0,/CLN16,/CLF16
1688,2013-01-02,88.01,89.17,-1.1599999999999966,/CLN16,/CLF16
1689,2013-01-03,87.33,88.57000000000001,-1.240000000000009,/CLN16,/CLF16
1690,2013-01-04,87.14,88.32000000000001,-1.1800000000000068,/CLN16,/CLF16
1691,2013-01-07,87.58,88.73,-1.1500000000000057,/CLN16,/CLF16
1692,2013-01-08,87.77,89.0,-1.230000000000004,/CLN16,/CLF16
1693,2013-01-09,87.84,89.07000000000001,-1.230000000000004,/CLN16,/CLF16
1694,2013-01-10,87.54,88.77,-1.2299999999999898,/CLN16,/CLF16
1695,2013-01-11,86.95,88.13,-1.1799999999999926,/CLN16,/CLF16
1696,2013-01-14,87.31,88.44,-1.1299999999999955,/CLN16,/CLF16
1697,2013-01-15,86.7,87.73,-1.0300000000000011,/CLN16,/CLF16
1698,2013-01-16,87.25,88.3,-1.0499999999999972,/CLN16,/CLF16
1699,2013-01-17,87.39,88.59,-1.2000000000000028,/CLN16,/CLF16
1700,2013-01-18,87.52,88.79,-1.2700000000000102,/CLN16,/CLF16
1701,2013-01-22,87.7,88.99,-1.289999999999992,/CLN16,/CLF16
1702,2013-01-23,88.01,89.19,-1.1799999999999926,/CLN16,/CLF16
1703,2013-01-24,87.94,89.15,-1.210000000000008,/CLN16,/CLF16
1704,2013-01-25,87.4,88.57000000000001,-1.1700000000000017,/CLN16,/CLF16
1705,2013-01-28,87.74,88.89,-1.1500000000000057,/CLN16,/CLF16
1706,2013-01-29,87.67,88.9,-1.230000000000004,/CLN16,/CLF16
1707,2013-01-30,87.62,88.89,-1.269999999999996,/CLN16,/CLF16
1708,2013-01-31,87.65,88.96000000000001,-1.3100000000000023,/CLN16,/CLF16
1709,2013-02-01,87.29,88.8,-1.509999999999991,/CLN16,/CLF16
1710,2013-02-04,86.86,88.31,-1.4500000000000028,/CLN16,/CLF16
1711,2013-02-05,87.81,89.25,-1.4399999999999977,/CLN16,/CLF16
1712,2013-02-06,88.19,89.62,-1.4300000000000068,/CLN16,/CLF16
1713,2013-02-07,88.14,89.52,-1.3799999999999955,/CLN16,/CLF16
1714,2013-02-08,88.19,89.48,-1.2900000000000063,/CLN16,/CLF16
1715,2013-02-11,88.44,89.7,-1.2600000000000051,/CLN16,/CLF16
1716,2013-02-12,87.93,89.31,-1.3799999999999955,/CLN16,/CLF16
1717,2013-02-13,88.0,89.31,-1.3100000000000023,/CLN16,/CLF16
1718,2013-02-14,88.3,89.66,-1.3599999999999994,/CLN16,/CLF16
1719,2013-02-15,87.7,89.11,-1.4099999999999966,/CLN16,/CLF16
1720,2013-02-19,87.44,88.94,-1.5,/CLN16,/CLF16
1721,2013-02-20,86.9,88.3,-1.3999999999999915,/CLN16,/CLF16
1722,2013-02-21,85.68,86.93,-1.25,/CLN16,/CLF16
1723,2013-02-22,86.03,87.26,-1.230000000000004,/CLN16,/CLF16
1724,2013-02-25,86.10000000000001,87.32000000000001,-1.2199999999999989,/CLN16,/CLF16
1725,2013-02-26,86.05,87.17,-1.1200000000000045,/CLN16,/CLF16
1726,2013-02-27,85.74,86.85000000000001,-1.1100000000000136,/CLN16,/CLF16
1727,2013-02-28,85.37,86.43,-1.0600000000000023,/CLN16,/CLF16
1728,2013-03-01,85.33,86.17,-0.8400000000000034,/CLN16,/CLF16
1729,2013-03-04,85.12,85.9,-0.7800000000000011,/CLN16,/CLF16
1730,2013-03-05,85.65,86.44,-0.789999999999992,/CLN16,/CLF16
1731,2013-03-06,84.83,85.60000000000001,-0.7700000000000102,/CLN16,/CLF16
1732,2013-03-07,84.84,85.68,-0.8400000000000034,/CLN16,/CLF16
1733,2013-03-08,85.16,86.07000000000001,-0.9100000000000108,/CLN16,/CLF16
1734,2013-03-11,84.92,85.85000000000001,-0.9300000000000068,/CLN16,/CLF16
1735,2013-03-12,85.49,86.34,-0.8500000000000085,/CLN16,/CLF16
1736,2013-03-13,85.27,86.12,-0.8500000000000085,/CLN16,/CLF16
1737,2013-03-14,85.65,86.53,-0.8799999999999955,/CLN16,/CLF16
1738,2013-03-15,86.10000000000001,86.97,-0.8699999999999903,/CLN16,/CLF16
1739,2013-03-18,86.53,87.34,-0.8100000000000023,/CLN16,/CLF16
1740,2013-03-19,85.77,86.56,-0.7900000000000063,/CLN16,/CLF16
